Name;Pago;Despacho;Moneda;Subtotal;Precio despacho;Total;Desc monto;Shipping Method;Cantidad;Producto;Precio oferta;Precio normal;SKU;status despacho;Ciudad;Codigo postal;Region
#43262;Pagado;Despachado;CLP;15992;0;15992;3998;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 40;19990;39990;6001202040;fulfilled;Conced;CONDES;RM
#43261;Pagado;Despachado;CLP;15992;0;15992;3998;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 40;19990;39990;6001202040;fulfilled;Condes;CONDES;RM
#43260;Pagado;Despachado;CLP;34990;3990;38980;0;Despacho Region Metropolitana;1;Zapatilla Nina 672  Negro Delux - Negro / 39;34990;49990;729-39;fulfilled;Talagante;TALAGANTE;RM
#43259;Pagado;Despachado;CLP;9990;3990;13980;0;Despacho Region Metropolitana;1;Zapatilla Monserrat Multicolor Premium - Multicolor / 40;9990;39990;0023076140;fulfilled;Macul;SANTIAGO;RM
#43258;Pagado;Despachado;CLP;29990;0;29990;0;Retiro en tienda;1;Botin Teca Negro Police - Negro / 35;29990;;90-35;fulfilled;Maipu;SANTIAGO;RM
#43257;Pagado;Despachado;CLP;9990;3990;13980;0;Despacho Region Metropolitana;1;Botin Grecia Negro Premium - Negro / 38;9990;39990;0318072038;fulfilled;LA CISTERNA;SANTIAGO;RM
#43256;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Bootie  Dallas  Premium - Negro / 38;19990;39990;8802072038;fulfilled;Providencia ;SANTIAGO;RM
#43255;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Bota  Cleveland Negro Premium - Negro / 36;19990;89990;0001002036;fulfilled;Santiago ;SANTIAGO;RM
#43254;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;44990;1838072036;fulfilled;padre hurtado;SANTIAGO;RM
#43253;Pagado;Despachado;CLP;19990;3990;23980;0;Despacho Region Metropolitana;1;Bootie  Dallas  Premium - Negro / 38;19990;39990;8802072038;fulfilled;puente alto;SANTIAGO;RM
#43252;Pagado;Despachado;CLP;9990;3990;13980;0;Despacho Region Metropolitana;1;Zapatilla Brisbane CafÃ© Premium - Negro / 38;9990;49990;1003204038;fulfilled;ESTACIÃ’N CENTRAL;SANTIAGO;RM
#43251;Pagado;Despachado;CLP;19990;8290;28280;0;Despacho Region;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;44990;1838072036;fulfilled;Arica;ARICA;AP
